disparities,window,nearest_depth_mm,common_roi_depth_coverage_pct,disparity_saturation_pct,median_disparity_px,depth_p10_mm,depth_median_mm,depth_p90_mm,photometric_median_abs_error_gray,photometric_inlier_le15_pct,local_outlier_gt2px_pct,cpp_compute_median_ms,cpp_compute_min_ms,cpp_compute_max_ms,cpp_python_visual_match_pct,valid_depth_pixels,common_roi_pixels,config_directory
64,5,495.3214319182539,60.93817039534171,2.1380121076486898,32.3125,546.2625732421875,965.7330932617188,6015.4697265625,4.0,75.88360899293616,0.3571252242318516,10.4126,8.44071,11.2841,100.0,477219,783120,details/d064_w005
64,9,495.3214319182539,63.82176422515068,2.577025656211172,26.4375,548.0614624023438,1180.3404541015625,6164.0,3.0,80.41400477390002,0.0,10.2185,8.61323,11.2286,100.0,499801,783120,details/d064_w009
64,11,495.3214319182539,65.06320870364695,2.6389387721457127,21.4375,551.0861206054688,1455.638427734375,6241.0498046875,3.0,82.33995325039301,0.0,11.2361,9.52184,12.5364,100.0,509523,783120,details/d064_w011
64,21,495.3214319182539,60.75352436408213,2.7540444707875396,7.8125,566.0816040039062,3994.27197265625,6320.05078125,2.0,89.53303361056638,0.0,12.8992,11.429,15.9775,100.0,475773,783120,details/d064_w021
128,5,245.71063158149602,59.79326284605169,0.21420044292294976,51.3125,317.2071228027344,608.1412963867188,5427.0,4.0,78.65149822852176,0.49338859285573317,16.1401,12.8565,16.5466,100.0,468253,783120,details/d128_w005
128,9,245.71063158149602,68.2979619981612,0.06955156070336821,45.5,340.34356689453125,685.8296508789062,5873.92919921875,3.0,82.82992586775855,0.0016272068993572533,14.2743,11.5704,15.0345,100.0,534855,783120,details/d128_w009
128,11,245.71063158149602,71.66066503217898,0.04918129186423825,43.3125,349.8836669921875,720.467529296875,5943.85693359375,3.0,84.0305137841262,0.0,16.7813,14.0485,17.6545,100.0,561189,783120,details/d128_w011
128,21,245.71063158149602,69.76849014199612,0.005673800403022854,27.3125,419.91925048828125,1142.5263671875,6088.8291015625,3.0,89.64348400628877,0.0,18.5158,16.8616,22.1475,100.0,546371,783120,details/d128_w021
256,5,122.37353023862742,54.098860966390845,0.10409315038745784,58.3125,190.9307861328125,535.1382446289062,5147.2578125,4.0,76.69847684104433,0.4738015607580825,18.9229,17.0855,19.9889,100.0,423659,783120,details/d256_w005
256,9,122.37353023862742,63.00132802124834,0.060602866779089375,47.875,320.2591552734375,651.8067626953125,5805.6279296875,3.0,82.61589538202101,0.0014228731603435764,20.2259,17.8683,21.6327,100.0,493376,783120,details/d256_w009
256,11,122.37353023862742,66.5823883951374,0.05408308081776687,44.0,337.35406494140625,709.210205078125,5943.85693359375,3.0,84.22653523071612,0.0,24.4187,22.2513,25.4687,100.0,521420,783120,details/d256_w011
256,21,122.37353023862742,67.20860149147002,0.04293933014644972,25.9375,422.4060974121094,1203.093994140625,6088.8291015625,3.0,90.45093896535214,0.0,28.4142,27.9766,33.3216,100.0,526324,783120,details/d256_w021
