camera,algorithm,disparities,block_size,p1,p2,runtime_ms,estimated_memory_mib,valid_percent,saturated_percent,photo_median_abs_gray,photo_inlier_percent,local_outlier_percent,median_disparity_px,p10_depth_mm,median_depth_mm,p90_depth_mm,bm_cpp_visual_match_percent
previous_camera,BM,128,11,,,13.8711,nan,47.29368375570957,0.4031973616916213,3.0,86.4306839660569,10.571676948570282,47.625,408.4786682128906,853.945556640625,7839.83740234375,100.0
previous_camera,Vitis-SGM,128,,20,40,2691.797,1845.6,89.66677248117384,0.6373119588028853,4.0,81.55144437615243,24.80356484326982,48.0,391.0495910644531,847.2741088867188,8133.8310546875,
gemini335,BM,128,11,,,5.68002,nan,65.72769953051643,0.04626794583928693,3.0,93.34316770186335,7.551242236024845,31.1875,339.2037353515625,655.29541015625,5945.31640625,100.0
gemini335,Vitis-SGM,128,,20,40,882.281,599.4,98.9957134109002,0.03844321970470164,3.0,89.64974500666693,5.888215321594018,29.0,329.62945556640625,704.7250366210938,6812.341796875,
